Core_name,Core_SMILES,Core_type,Substituent_name,Substituent_SMILES
0取代苯,c1ccccc1,0取代苯,氟,F*
1取代苯1,*c1ccccc1,1取代苯,氯,Cl*
2取代苯1,*c1ccc(*)cc1,2取代苯,溴,Br*
2取代苯2,*c1cccc(*)c1,2取代苯,碘,I*
2取代苯3,*c1ccccc1*,2取代苯,甲氧基,*OC
3取代苯1,*c1cc(*)cc(*)c1,3取代苯,甲基,*C
3取代苯2,*c1ccc(*)c(*)c1,3取代苯,1噻吩,*C1=CC=CS1
3取代苯3,*c1cccc(*)c1*,3取代苯,氰基,*C#N
4取代苯1,*c1cc(*)c(*)c(*)c1,4取代苯,甲苯基,*c1ccccc1
4取代苯2,*c1cc(*)c(*)cc1*,4取代苯,羟基,*O
4取代苯3,*c1ccc(*)c(*)c1*,4取代苯,,
5取代苯,*c1cc(*)c(*)c(*)c1*,5取代苯,,
6取代苯,*c1c(*)c(*)c(*)c(*)c1*,6取代苯,,
0取代联苯,c1ccc(-c2ccccc2)cc1,0取代联苯,,
1取代联苯1,*c1ccc(-c2ccccc2)cc1,1取代联苯,,
1取代联苯2,*c1cccc(-c2ccccc2)c1,1取代联苯,,
1取代联苯3,*c1ccccc1-c1ccccc1,1取代联苯,,
2取代联苯1,*c1cc(*)cc(-c2ccccc2)c1,2取代联苯,,
2取代联苯2,*c1ccc(-c2ccc(*)cc2)cc1,2取代联苯,,
2取代联苯3,*c1ccc(-c2cccc(*)c2)cc1,2取代联苯,,
2取代联苯4,*c1ccc(-c2ccccc2)c(*)c1,2取代联苯,,
2取代联苯5,*c1ccc(-c2ccccc2)cc1*,2取代联苯,,
2取代联苯6,*c1ccc(-c2ccccc2*)cc1,2取代联苯,,
2取代联苯7,*c1ccc(*)c(-c2ccccc2)c1,2取代联苯,,
2取代联苯8,*c1cccc(-c2cccc(*)c2)c1,2取代联苯,,
2取代联苯9,*c1cccc(-c2ccccc2)c1*,2取代联苯,,
2取代联苯10,*c1cccc(-c2ccccc2*)c1,2取代联苯,,
2取代联苯11,*c1cccc(*)c1-c1ccccc1,2取代联苯,,
2取代联苯12,*c1ccccc1-c1ccccc1*,2取代联苯,,
3取代联苯1,*c1cc(-c2ccccc2)cc(*)c1*,3取代联苯,,
3取代联苯2,*c1cc(*)c(-c2ccccc2)c(*)c1,3取代联苯,,
3取代联苯3,*c1cc(*)c(-c2ccccc2)cc1*,3取代联苯,,
3取代联苯4,*c1cc(*)c(*)c(-c2ccccc2)c1,3取代联苯,,
3取代联苯5,*c1cc(*)cc(-c2ccccc2*)c1,3取代联苯,,
3取代联苯6,*c1ccc(-c2c(*)cccc2*)cc1,3取代联苯,,
3取代联苯7,*c1ccc(-c2cc(*)cc(*)c2)cc1,3取代联苯,,
3取代联苯8,*c1ccc(-c2cc(*)ccc2*)cc1,3取代联苯,,
3取代联苯9,*c1ccc(-c2ccc(*)c(*)c2)cc1,3取代联苯,,
3取代联苯10,*c1ccc(-c2ccc(*)cc2*)cc1,3取代联苯,,
3取代联苯11,*c1ccc(-c2cccc(*)c2*)cc1,3取代联苯,,
3取代联苯12,*c1ccc(-c2ccccc2)c(*)c1*,3取代联苯,,
3取代联苯13,*c1ccc(-c2ccccc2*)c(*)c1,3取代联苯,,
3取代联苯14,*c1ccc(-c2ccccc2*)cc1*,3取代联苯,,
3取代联苯15,*c1ccc(*)c(-c2ccccc2)c1*,3取代联苯,,
3取代联苯16,*c1ccc(*)c(-c2ccccc2*)c1,3取代联苯,,
3取代联苯17,*c1cccc(-c2c(*)cccc2*)c1,3取代联苯,,
3取代联苯18,*c1cccc(-c2cc(*)cc(*)c2)c1,3取代联苯,,
3取代联苯19,*c1cccc(-c2cc(*)ccc2*)c1,3取代联苯,,
3取代联苯20,*c1cccc(-c2ccc(*)c(*)c2)c1,3取代联苯,,
3取代联苯21,*c1cccc(-c2ccc(*)cc2*)c1,3取代联苯,,
3取代联苯22,*c1cccc(-c2cccc(*)c2*)c1,3取代联苯,,
3取代联苯23,*c1ccccc1-c1c(*)cccc1*,3取代联苯,,
3取代联苯24,*c1ccccc1-c1cccc(*)c1*,3取代联苯,,
4取代联苯1,*c1cc(-c2ccccc2)c(*)c(*)c1*,4取代联苯,,
4取代联苯2,*c1cc(*)c(-c2ccccc2)c(*)c1*,4取代联苯,,
4取代联苯3,*c1cc(*)c(-c2ccccc2*)c(*)c1,4取代联苯,,
4取代联苯4,*c1cc(*)c(-c2ccccc2*)cc1*,4取代联苯,,
4取代联苯5,*c1cc(*)c(*)c(-c2ccccc2)c1*,4取代联苯,,
4取代联苯6,*c1cc(*)c(*)c(-c2ccccc2*)c1,4取代联苯,,
4取代联苯7,*c1cc(*)cc(-c2c(*)cccc2*)c1,4取代联苯,,
4取代联苯8,*c1cc(*)cc(-c2cc(*)cc(*)c2)c1,4取代联苯,,
4取代联苯9,*c1cc(*)cc(-c2cc(*)ccc2*)c1,4取代联苯,,
4取代联苯10,*c1cc(*)cc(-c2ccc(*)c(*)c2)c1,4取代联苯,,
4取代联苯11,*c1cc(*)cc(-c2ccc(*)cc2*)c1,4取代联苯,,
4取代联苯12,*c1cc(*)cc(-c2cccc(*)c2*)c1,4取代联苯,,
4取代联苯13,*c1ccc(-c2c(*)cc(*)cc2*)cc1,4取代联苯,,
4取代联苯14,*c1ccc(-c2c(*)ccc(*)c2*)cc1,4取代联苯,,
4取代联苯15,*c1ccc(-c2c(*)cccc2*)c(*)c1,4取代联苯,,
4取代联苯16,*c1ccc(-c2c(*)cccc2*)cc1*,4取代联苯,,
4取代联苯17,*c1ccc(-c2cc(*)c(*)c(*)c2)cc1,4取代联苯,,
4取代联苯18,*c1ccc(-c2cc(*)c(*)cc2*)cc1,4取代联苯,,
4取代联苯19,*c1ccc(-c2cc(*)cc(*)c2*)cc1,4取代联苯,,
4取代联苯20,*c1ccc(-c2cc(*)ccc2*)c(*)c1,4取代联苯,,
4取代联苯21,*c1ccc(-c2ccc(*)c(*)c2)c(*)c1,4取代联苯,,
4取代联苯22,*c1ccc(-c2ccc(*)c(*)c2)cc1*,4取代联苯,,
4取代联苯23,*c1ccc(-c2ccc(*)c(*)c2*)cc1,4取代联苯,,
4取代联苯24,*c1ccc(-c2ccc(*)cc2*)c(*)c1,4取代联苯,,
4取代联苯25,*c1ccc(-c2cccc(*)c2*)c(*)c1,4取代联苯,,
4取代联苯26,*c1ccc(-c2cccc(*)c2*)cc1*,4取代联苯,,
4取代联苯27,*c1ccc(*)c(-c2c(*)cccc2*)c1,4取代联苯,,
4取代联苯28,*c1ccc(*)c(-c2cc(*)ccc2*)c1,4取代联苯,,
4取代联苯29,*c1ccc(*)c(-c2ccc(*)c(*)c2)c1,4取代联苯,,
4取代联苯30,*c1ccc(*)c(-c2cccc(*)c2*)c1,4取代联苯,,
4取代联苯31,*c1cccc(-c2c(*)cc(*)cc2*)c1,4取代联苯,,
4取代联苯32,*c1cccc(-c2c(*)ccc(*)c2*)c1,4取代联苯,,
4取代联苯33,*c1cccc(-c2c(*)cccc2*)c1*,4取代联苯,,
4取代联苯34,*c1cccc(-c2cc(*)c(*)c(*)c2)c1,4取代联苯,,
4取代联苯35,*c1cccc(-c2cc(*)c(*)cc2*)c1,4取代联苯,,
4取代联苯36,*c1cccc(-c2cc(*)cc(*)c2*)c1,4取代联苯,,
4取代联苯37,*c1cccc(-c2ccc(*)c(*)c2*)c1,4取代联苯,,
4取代联苯38,*c1cccc(-c2cccc(*)c2*)c1*,4取代联苯,,
4取代联苯39,*c1cccc(*)c1-c1c(*)cccc1*,4取代联苯,,
4取代联苯40,*c1ccccc1-c1c(*)ccc(*)c1*,4取代联苯,,
4取代联苯41,*c1ccccc1-c1cc(*)c(*)c(*)c1,4取代联苯,,
4取代联苯42,*c1ccccc1-c1ccc(*)c(*)c1*,4取代联苯,,
5取代联苯1,*c1c(*)c(*)c(-c2ccccc2)c(*)c1*,5取代联苯,,
5取代联苯2,*c1cc(-c2c(*)cccc2*)cc(*)c1*,5取代联苯,,
5取代联苯3,*c1cc(-c2cccc(*)c2*)cc(*)c1*,5取代联苯,,
5取代联苯4,*c1cc(*)c(-c2c(*)cccc2*)c(*)c1,5取代联苯,,
5取代联苯5,*c1cc(*)c(-c2c(*)cccc2*)cc1*,5取代联苯,,
5取代联苯6,*c1cc(*)c(-c2cc(*)ccc2*)c(*)c1,5取代联苯,,
5取代联苯7,*c1cc(*)c(-c2ccc(*)c(*)c2)c(*)c1,5取代联苯,,
5取代联苯8,*c1cc(*)c(-c2cccc(*)c2*)c(*)c1,5取代联苯,,
5取代联苯9,*c1cc(*)c(-c2cccc(*)c2*)cc1*,5取代联苯,,
5取代联苯10,*c1cc(*)c(*)c(-c2c(*)cccc2*)c1,5取代联苯,,
5取代联苯11,*c1cc(*)c(*)c(-c2ccc(*)c(*)c2)c1,5取代联苯,,
5取代联苯12,*c1cc(*)c(*)c(-c2cccc(*)c2*)c1,5取代联苯,,
5取代联苯13,*c1cc(*)cc(-c2c(*)cc(*)cc2*)c1,5取代联苯,,
