SMILES,Core_type
c1ccccc1,0取代苯
Cc1ccccc1,1取代苯
N#Cc1ccccc1,1取代苯
Brc1ccccc1,1取代苯
Oc1ccccc1,1取代苯
Ic1ccccc1,1取代苯
Clc1ccccc1,1取代苯
Fc1ccccc1,1取代苯
COc1ccccc1,1取代苯
c1ccc(-c2cccs2)cc1,1取代苯
c1ccc(-c2ccccc2)cc1,1取代苯
Clc1ccc(I)cc1,2取代苯
Clc1cccc(Cl)c1,2取代苯
c1csc(-c2ccc(-c3cccs3)cc2)c1,2取代苯
COc1cccc(F)c1,2取代苯
Brc1cccc(Br)c1,2取代苯
N#Cc1cccc(-c2cccs2)c1,2取代苯
Clc1cccc(-c2cccs2)c1,2取代苯
N#Cc1ccc(-c2ccccc2)cc1,2取代苯
COc1ccc(O)cc1,2取代苯
COc1cccc(Br)c1,2取代苯
N#Cc1ccc(C#N)cc1,2取代苯
Fc1cccc(F)c1,2取代苯
Oc1ccc(I)cc1,2取代苯
Cc1cccc(Cl)c1,2取代苯
Cc1cccc(C#N)c1,2取代苯
COc1ccc(Cl)cc1,2取代苯
Clc1ccccc1-c1cccs1,2取代苯
Oc1ccc(Br)cc1,2取代苯
Cc1ccc(Br)cc1,2取代苯
N#Cc1ccc(-c2cccs2)cc1,2取代苯
N#Cc1cccc(I)c1,2取代苯
Brc1cccc(I)c1,2取代苯
COc1ccc(C)cc1,2取代苯
Brc1ccc(I)cc1,2取代苯
Cc1ccc(I)cc1,2取代苯
Cc1ccccc1C,2取代苯
Brc1ccccc1-c1ccccc1,2取代苯
c1ccc(-c2ccccc2-c2cccs2)cc1,2取代苯
Fc1cccc(-c2cccs2)c1,2取代苯
Brc1cccc(-c2ccccc2)c1,2取代苯
Cc1ccccc1F,2取代苯
N#Cc1ccccc1F,2取代苯
Ic1cccc(-c2cccs2)c1,2取代苯
Oc1cccc(-c2ccccc2)c1,2取代苯
Oc1cccc(Br)c1,2取代苯
Cc1ccc(-c2cccs2)cc1,2取代苯
N#Cc1cccc(O)c1,2取代苯
Oc1ccc(Cl)cc1,2取代苯
COc1ccc(Br)cc1,2取代苯
N#Cc1ccccc1C#N,2取代苯
Clc1ccc(-c2ccccc2)cc1,2取代苯
COc1cccc(I)c1,2取代苯
Oc1cccc(I)c1,2取代苯
Oc1ccccc1Br,2取代苯
Ic1ccc(-c2ccccc2)cc1,2取代苯
COc1cccc(Cl)c1,2取代苯
Oc1ccccc1-c1cccs1,2取代苯
c1ccc(-c2ccc(-c3cccs3)cc2)cc1,2取代苯
N#Cc1ccccc1I,2取代苯
N#Cc1cccc(-c2ccccc2)c1,2取代苯
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,2取代苯
Ic1ccccc1I,2取代苯
Brc1ccccc1I,2取代苯
Ic1cccc(-c2ccccc2)c1,2取代苯
COc1ccccc1-c1cccs1,2取代苯
N#Cc1ccc(Br)cc1,2取代苯
N#Cc1cccc(Br)c1,2取代苯
Oc1ccccc1Cl,2取代苯
Ic1ccc(I)cc1,2取代苯
c1csc(-c2ccccc2-c2cccs2)c1,2取代苯
c1ccc(-c2ccccc2-c2ccccc2)cc1,2取代苯
COc1ccccc1C,2取代苯
COc1ccc(F)cc1,2取代苯
Oc1cccc(O)c1,2取代苯
COc1ccccc1Br,2取代苯
Ic1ccccc1-c1ccccc1,2取代苯
Clc1cccc(I)c1,2取代苯
N#Cc1cccc(F)c1,2取代苯
Fc1cccc(I)c1,2取代苯
Cc1cccc(I)c1,2取代苯
N#Cc1ccccc1O,2取代苯
Clc1ccccc1Br,2取代苯
COc1cccc(C)c1,2取代苯
Clc1cccc(-c2ccccc2)c1,2取代苯
COc1ccc(-c2cccs2)cc1,2取代苯
COc1ccccc1C#N,2取代苯
N#Cc1ccccc1Br,2取代苯
Brc1ccc(Br)cc1,2取代苯
Fc1ccc(Br)cc1,2取代苯
Cc1ccc(C#N)cc1,2取代苯
Cc1ccccc1Cl,2取代苯
Cc1ccccc1Br,2取代苯
Fc1cccc(Br)c1,2取代苯
Oc1ccc(O)cc1,2取代苯
COc1ccc(-c2ccccc2)cc1,2取代苯
COc1ccc(OC)cc1,2取代苯
N#Cc1ccc(I)cc1,2取代苯
COc1cccc(-c2ccccc2)c1,2取代苯
Oc1ccccc1F,2取代苯
N#Cc1cccc(Cl)c1,2取代苯
COc1ccccc1-c1ccccc1,2取代苯
N#Cc1ccc(Cl)cc1,2取代苯
Ic1cccc(I)c1,2取代苯
COc1cccc(C#N)c1,2取代苯
Cc1ccccc1C#N,2取代苯
Cc1ccc(C)cc1,2取代苯
Fc1cccc(Cl)c1,2取代苯
Brc1ccc(-c2ccccc2)cc1,2取代苯
COc1ccccc1O,2取代苯
Cc1ccc(Cl)cc1,2取代苯
COc1ccccc1I,2取代苯
c1ccc(-c2cccc(-c3cccs3)c2)cc1,2取代苯
Oc1cccc(F)c1,2取代苯
Fc1ccc(I)cc1,2取代苯
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,2取代苯
Brc1ccc(-c2cccs2)cc1,2取代苯
Cc1cccc(-c2ccccc2)c1,2取代苯
N#Cc1ccccc1-c1cccs1,2取代苯
Brc1ccccc1Br,2取代苯
Oc1ccccc1O,2取代苯
COc1cccc(-c2cccs2)c1,2取代苯
Cc1ccc(-c2ccccc2)cc1,2取代苯
N#Cc1ccc(F)cc1,2取代苯
Fc1ccc(-c2cccs2)cc1,2取代苯
COc1cccc(OC)c1,2取代苯
Ic1ccc(-c2cccs2)cc1,2取代苯
Clc1ccc(Br)cc1,2取代苯
Oc1cccc(-c2cccs2)c1,2取代苯
Clc1cccc(Br)c1,2取代苯
Clc1ccc(-c2cccs2)cc1,2取代苯
Oc1ccc(-c2ccccc2)cc1,2取代苯
Fc1ccccc1-c1ccccc1,2取代苯
Cc1cccc(C)c1,2取代苯
Brc1cccc(-c2cccs2)c1,2取代苯
Fc1ccc(F)cc1,2取代苯
Brc1ccccc1-c1cccs1,2取代苯
COc1ccc(I)cc1,2取代苯
Clc1ccccc1Cl,2取代苯
Oc1ccc(-c2cccs2)cc1,2取代苯
N#Cc1ccc(O)cc1,2取代苯
Cc1ccc(F)cc1,2取代苯
Fc1cccc(-c2ccccc2)c1,2取代苯
Oc1ccccc1-c1ccccc1,2取代苯
N#Cc1ccccc1-c1ccccc1,2取代苯
Cc1ccccc1-c1ccccc1,2取代苯
Cc1cccc(F)c1,2取代苯
Fc1ccc(-c2ccccc2)cc1,2取代苯
Oc1cccc(Cl)c1,2取代苯
Clc1ccccc1I,2取代苯
Cc1cccc(O)c1,2取代苯
Clc1ccccc1-c1ccccc1,2取代苯
N#Cc1cccc(C#N)c1,2取代苯
Fc1ccccc1-c1cccs1,2取代苯
Fc1ccccc1I,2取代苯
Cc1ccccc1-c1cccs1,2取代苯
COc1ccccc1F,2取代苯
Cc1ccccc1I,2取代苯
Cc1cccc(Br)c1,2取代苯
COc1ccccc1OC,2取代苯
Fc1ccc(Cl)cc1,2取代苯
c1cc(-c2cccs2)cc(-c2cccs2)c1,2取代苯
N#Cc1ccccc1Cl,2取代苯
Fc1ccccc1F,2取代苯
Cc1ccccc1O,2取代苯
Ic1ccccc1-c1cccs1,2取代苯
COc1cccc(O)c1,2取代苯
Cc1cccc(-c2cccs2)c1,2取代苯
Clc1ccc(Cl)cc1,2取代苯
Cc1ccc(O)cc1,2取代苯
Fc1ccccc1Br,2取代苯
Fc1ccccc1Cl,2取代苯
COc1ccccc1Cl,2取代苯
COc1ccc(C#N)cc1,2取代苯
Oc1ccc(F)cc1,2取代苯
Oc1ccccc1I,2取代苯
N#Cc1cccc(Cl)c1-c1cccs1,3取代苯
COc1ccc(C#N)cc1OC,3取代苯
COc1cccc(-c2cccs2)c1Br,3取代苯
Brc1cccc(I)c1-c1cccs1,3取代苯
Fc1cccc(-c2cccs2)c1Cl,3取代苯
COc1cc(Cl)cc(I)c1,3取代苯
Cc1cc(-c2cccs2)ccc1-c1ccccc1,3取代苯
COc1cc(C)ccc1-c1cccs1,3取代苯
Cc1cccc(Cl)c1C,3取代苯
N#Cc1cc(Br)cc(I)c1,3取代苯
N#Cc1c(Br)cccc1-c1ccccc1,3取代苯
Brc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯
Fc1ccc(Cl)cc1Br,3取代苯
N#Cc1c(-c2cccs2)cccc1-c1cccs1,3取代苯
Cc1ccc(C#N)c(C#N)c1,3取代苯
Cc1cccc(F)c1O,3取代苯
COc1cccc(O)c1-c1cccs1,3取代苯
Fc1cccc(-c2cccs2)c1-c1cccs1,3取代苯
Oc1cccc(F)c1-c1cccs1,3取代苯
Fc1cc(Cl)cc(Br)c1,3取代苯
Cc1cc(O)cc(I)c1,3取代苯
N#Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,3取代苯
Oc1cccc(Cl)c1-c1ccccc1,3取代苯
Oc1cccc(-c2ccccc2)c1F,3取代苯
COc1c(-c2cccs2)cccc1-c1cccs1,3取代苯
Cc1cc(C)cc(Br)c1,3取代苯
Brc1cccc(-c2ccccc2)c1Br,3取代苯
COc1ccc(-c2ccccc2)c(C)c1,3取代苯
Cc1c(O)cccc1F,3取代苯
Oc1cc(Cl)ccc1-c1ccccc1,3取代苯
COc1cccc(F)c1F,3取代苯
Cc1cccc(C#N)c1I,3取代苯
Cc1cc(F)cc(F)c1,3取代苯
Fc1ccc(F)c(Br)c1,3取代苯
Oc1cccc(I)c1-c1ccccc1,3取代苯
Clc1ccc(Br)cc1Cl,3取代苯
Cc1ccc(I)cc1Cl,3取代苯
COc1cc(Cl)cc(-c2ccccc2)c1,3取代苯
Cc1cc(F)cc(-c2cccs2)c1,3取代苯
c1ccc(-c2ccc(-c3cccs3)c(-c3ccccc3)c2)cc1,3取代苯
Fc1cc(I)ccc1-c1cccs1,3取代苯
COc1c(C)cccc1I,3取代苯
N#Cc1cccc(O)c1O,3取代苯
Brc1cc(I)ccc1-c1ccccc1,3取代苯
Oc1cc(I)ccc1-c1cccs1,3取代苯
COc1cc(F)ccc1I,3取代苯
N#Cc1cc(F)cc(F)c1,3取代苯
Cc1ccc(-c2ccccc2)cc1C#N,3取代苯
Brc1cccc(-c2cccs2)c1-c1ccccc1,3取代苯
N#Cc1cccc(-c2cccs2)c1I,3取代苯
N#Cc1cc(-c2cccs2)ccc1O,3取代苯
