SMILES,Core_type,SAscore
c1ccccc1,0取代苯,1.0
Cc1ccccc1,1取代苯,1.0
N#Cc1ccccc1,1取代苯,1.383705654729635
Brc1ccccc1,1取代苯,1.1205328172933111
Oc1ccccc1,1取代苯,1.1765612788317714
Ic1ccccc1,1取代苯,1.4777843557548493
Clc1ccccc1,1取代苯,1.0
Fc1ccccc1,1取代苯,1.0
COc1ccccc1,1取代苯,1.0
c1ccc(-c2cccs2)cc1,1取代苯,1.4270241125210053
c1ccc(-c2ccccc2)cc1,1取代苯,1.0
Clc1ccc(I)cc1,2取代苯,1.583246791853382
Clc1cccc(Cl)c1,2取代苯,1.2417691694757593
c1csc(-c2ccc(-c3cccs3)cc2)c1,2取代苯,1.8150177061175636
COc1cccc(F)c1,2取代苯,1.254268622610173
Brc1cccc(Br)c1,2取代苯,1.604966372272962
N#Cc1cccc(-c2cccs2)c1,2取代苯,1.8950798309804853
Clc1cccc(-c2cccs2)c1,2取代苯,1.6490338691001458
N#Cc1ccc(-c2ccccc2)cc1,2取代苯,1.3745552573619335
COc1ccc(O)cc1,2取代苯,1.2464483149178651
COc1cccc(Br)c1,2取代苯,1.3549800072255564
N#Cc1ccc(C#N)cc1,2取代苯,1.845162773268921
Fc1cccc(F)c1,2取代苯,1.2948251135317026
Oc1ccc(I)cc1,2取代苯,1.8075670715736614
Cc1cccc(Cl)c1,2取代苯,1.3168153233219115
Cc1cccc(C#N)c1,2取代苯,1.6480310841486343
COc1ccc(Cl)cc1,2取代苯,1.0490464687640184
Clc1ccccc1-c1cccs1,2取代苯,1.6200004625067397
Oc1ccc(Br)cc1,2取代苯,1.4714013373079275
Cc1ccc(Br)cc1,2取代苯,1.2026789596855476
N#Cc1ccc(-c2cccs2)cc1,2取代苯,1.8040668755148985
N#Cc1cccc(I)c1,2取代苯,2.12951169953325
Brc1cccc(I)c1,2取代苯,2.000110428217017
COc1ccc(C)cc1,2取代苯,1.0099726226101744
Brc1ccc(I)cc1,2取代苯,1.7520628757694645
Cc1ccc(I)cc1,2取代苯,1.5388446939512832
Cc1ccccc1C,2取代苯,1.0337432953498862
Brc1ccccc1-c1ccccc1,2取代苯,1.3494174828023482
c1ccc(-c2ccccc2-c2cccs2)cc1,2取代苯,1.5706168080848997
Fc1cccc(-c2cccs2)c1,2取代苯,1.668723099869375
Brc1cccc(-c2ccccc2)c1,2取代苯,1.2805984544622682
Cc1ccccc1F,2取代苯,1.192665672972261
N#Cc1ccccc1F,2取代苯,1.6874981610717086
Ic1cccc(-c2cccs2)c1,2取代苯,1.9701222207484967
Oc1cccc(-c2ccccc2)c1,2取代苯,1.3180231508185436
Oc1cccc(Br)c1,2取代苯,1.7149866519932413
Cc1ccc(-c2cccs2)cc1,2取代苯,1.5148369460232214
N#Cc1cccc(O)c1,2取代苯,1.8920667764563266
Oc1ccc(Cl)cc1,2取代苯,1.3025852533918432
COc1ccc(Br)cc1,2取代苯,1.1976046226101715
N#Cc1ccccc1C#N,2取代苯,2.012978157884305
Clc1ccc(-c2ccccc2)cc1,2取代苯,1.0954863087132818
COc1cccc(I)c1,2取代苯,1.6455110841486338
Oc1cccc(I)c1,2取代苯,2.103364973671562
Oc1ccccc1Br,2取代苯,1.7194803582869476
Ic1ccc(-c2ccccc2)cc1,2取代苯,1.387844203450122
