组别,文献序号,添加剂,作用活性层,单/双添加剂（1/2）,添加剂类型,器件结构,SMILES,Voc,Jsc ,FF%,PCE,分子偶极矩/debye,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,fr_hdrzine,fr_hdrzone
A,1,TCB,PM6:Y6,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:Y6/PDIN/Ag,ClC1=CC(Cl)=CC(Cl)=C1 ,0.82,26.9,78.6,16.9,1.46085927,5.581358025,5.581358025,0.5625,0.5625,0.573089121,9.666666667,181.449,178.425,179.9300331,48,0,0.04351141,-0.084233321,0.084233321,0.04351141,35.49797714,10.35900073,1.921952586,-1.912755073,2.211839171,-1.652252581,6.377248408,1.704714412,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,6.633731065,4.18154055,2.298997517,3.432890936,1.587666373,2.896973714,0.827326835,1.481980506,0.520178761,1.393014894,0.09,85.75693819,7.200011001,2.782200282,2.052723741,68.3412018,0,0,0,0,0,0,0,0,0,0,34.80281967,18.19910121,15.06789994,0,0,34.80281967,0,0,0,0,0,33.26700115,0,0,0,0,0,34.80281967,0,0,0,0,18.19910121,15.06789994,0,0,0,0,0,0,0,15.06789994,0,0,18.19910121,0,0,34.80281967,0,16.74407407,0,1.6875,0,0,4.901759259,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.6468,41.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TBB,PM6:Y6,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:Y6/PDIN/Ag,BrC1=CC(Br)=CC(Br)=C1,0.837,27.3,78.3,17.9,1.30635082,3.352916667,3.352916667,1.072916667,1.072916667,0.679431348,9.666666667,314.802,311.778,311.7784864,48,0,0.019719819,-0.050756148,0.050756148,0.019719819,79.92079564,10.37181456,1.911007289,-1.922916515,2.225176642,-1.662625367,9.112945151,1.558148535,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,9.123933844,4.18154055,2.298997517,4.677992326,1.587666373,4.334692959,0.827326835,2.200840129,0.520178761,2.921509924,0.66,85.75693819,7.763519669,3.170355912,2.396618674,79.03404594,0,0,0,0,0,0,0,0,0,0,47.78983169,18.19910121,13.41815855,0,0,47.78983169,0,0,0,0,0,31.61725975,0,0,0,0,0,47.78983169,0,0,0,0,31.61725975,0,0,0,0,0,0,0,0,0,13.41815855,0,0,18.19910121,47.78983169,0,3.21875,10.05875,0,0,0,0,5.9725,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.9741,49.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TIB,PM6:Y6,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:Y6/PDIN/Ag,IC1=CC(I)=CC(I)=C1,0.836,26.5,77.6,17.2,1.14286446,2.321466667,2.321466667,1.309166667,1.309166667,0.525405495,9.666666667,455.802,452.778,455.7368941,48,0,0.015085684,-0.044237567,0.044237567,0.015085684,126.9147405,10.37471904,1.908906556,-1.92492926,2.146988702,-1.763104251,14.11538309,1.54687223,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,10.8384391,4.18154055,2.298997517,5.535244954,1.587666373,5.32456303,0.827326835,2.695775164,0.520178761,4.320722033,1.41,85.75693819,8.506061479,3.70104239,2.873217373,95.21691748,0,0,0,0,0,0,0,0,0,0,0,85.97171309,10.71054681,0,0,67.77261188,0,0,0,0,0,28.90964802,0,0,0,0,0,67.77261188,0,0,10.71054681,0,18.19910121,0,0,0,0,0,0,0,0,0,0,10.71054681,0,0,85.97171309,0,3.9275,6.9644,0,0,0,0,6.4681,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.5004,64.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TCB,PM6:BTP-eC9,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:BTP-eC9/PDIN/Ag,ClC1=CC(Cl)=CC(Cl)=C1 ,0.82,26.9,78.6,16.9,1.46085927,5.581358025,5.581358025,0.5625,0.5625,0.573089121,9.666666667,181.449,178.425,179.9300331,48,0,0.04351141,-0.084233321,0.084233321,0.04351141,35.49797714,10.35900073,1.921952586,-1.912755073,2.211839171,-1.652252581,6.377248408,1.704714412,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,6.633731065,4.18154055,2.298997517,3.432890936,1.587666373,2.896973714,0.827326835,1.481980506,0.520178761,1.393014894,0.09,85.75693819,7.200011001,2.782200282,2.052723741,68.3412018,0,0,0,0,0,0,0,0,0,0,34.80281967,18.19910121,15.06789994,0,0,34.80281967,0,0,0,0,0,33.26700115,0,0,0,0,0,34.80281967,0,0,0,0,18.19910121,15.06789994,0,0,0,0,0,0,0,15.06789994,0,0,18.19910121,0,0,34.80281967,0,16.74407407,0,1.6875,0,0,4.901759259,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.6468,41.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TBB,PM6:BTP-eC9,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:BTP-eC9/PDIN/Ag,BrC1=CC(Br)=CC(Br)=C1,0.837,27.3,78.3,17.9,1.30635082,3.352916667,3.352916667,1.072916667,1.072916667,0.679431348,9.666666667,314.802,311.778,311.7784864,48,0,0.019719819,-0.050756148,0.050756148,0.019719819,79.92079564,10.37181456,1.911007289,-1.922916515,2.225176642,-1.662625367,9.112945151,1.558148535,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,9.123933844,4.18154055,2.298997517,4.677992326,1.587666373,4.334692959,0.827326835,2.200840129,0.520178761,2.921509924,0.66,85.75693819,7.763519669,3.170355912,2.396618674,79.03404594,0,0,0,0,0,0,0,0,0,0,47.78983169,18.19910121,13.41815855,0,0,47.78983169,0,0,0,0,0,31.61725975,0,0,0,0,0,47.78983169,0,0,0,0,31.61725975,0,0,0,0,0,0,0,0,0,13.41815855,0,0,18.19910121,47.78983169,0,3.21875,10.05875,0,0,0,0,5.9725,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.9741,49.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TIB,PM6:BTP-eC9,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:BTP-eC9/PDIN/Ag,IC1=CC(I)=CC(I)=C1,0.836,26.5,77.6,17.2,1.14286446,2.321466667,2.321466667,1.309166667,1.309166667,0.525405495,9.666666667,455.802,452.778,455.7368941,48,0,0.015085684,-0.044237567,0.044237567,0.015085684,126.9147405,10.37471904,1.908906556,-1.92492926,2.146988702,-1.763104251,14.11538309,1.54687223,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,10.8384391,4.18154055,2.298997517,5.535244954,1.587666373,5.32456303,0.827326835,2.695775164,0.520178761,4.320722033,1.41,85.75693819,8.506061479,3.70104239,2.873217373,95.21691748,0,0,0,0,0,0,0,0,0,0,0,85.97171309,10.71054681,0,0,67.77261188,0,0,0,0,0,28.90964802,0,0,0,0,0,67.77261188,0,0,10.71054681,0,18.19910121,0,0,0,0,0,0,0,0,0,0,10.71054681,0,0,85.97171309,0,3.9275,6.9644,0,0,0,0,6.4681,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.5004,64.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TCB,PM6:L8-BO,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:L8-BO/PDIN/Ag,ClC1=CC(Cl)=CC(Cl)=C1 ,0.82,26.9,78.6,16.9,1.46085927,5.581358025,5.581358025,0.5625,0.5625,0.573089121,9.666666667,181.449,178.425,179.9300331,48,0,0.04351141,-0.084233321,0.084233321,0.04351141,35.49797714,10.35900073,1.921952586,-1.912755073,2.211839171,-1.652252581,6.377248408,1.704714412,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,6.633731065,4.18154055,2.298997517,3.432890936,1.587666373,2.896973714,0.827326835,1.481980506,0.520178761,1.393014894,0.09,85.75693819,7.200011001,2.782200282,2.052723741,68.3412018,0,0,0,0,0,0,0,0,0,0,34.80281967,18.19910121,15.06789994,0,0,34.80281967,0,0,0,0,0,33.26700115,0,0,0,0,0,34.80281967,0,0,0,0,18.19910121,15.06789994,0,0,0,0,0,0,0,15.06789994,0,0,18.19910121,0,0,34.80281967,0,16.74407407,0,1.6875,0,0,4.901759259,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.6468,41.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TBB,PM6:L8-BO,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:L8-BO/PDIN/Ag,BrC1=CC(Br)=CC(Br)=C1,0.837,27.3,78.3,17.9,1.30635082,3.352916667,3.352916667,1.072916667,1.072916667,0.679431348,9.666666667,314.802,311.778,311.7784864,48,0,0.019719819,-0.050756148,0.050756148,0.019719819,79.92079564,10.37181456,1.911007289,-1.922916515,2.225176642,-1.662625367,9.112945151,1.558148535,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,9.123933844,4.18154055,2.298997517,4.677992326,1.587666373,4.334692959,0.827326835,2.200840129,0.520178761,2.921509924,0.66,85.75693819,7.763519669,3.170355912,2.396618674,79.03404594,0,0,0,0,0,0,0,0,0,0,47.78983169,18.19910121,13.41815855,0,0,47.78983169,0,0,0,0,0,31.61725975,0,0,0,0,0,47.78983169,0,0,0,0,31.61725975,0,0,0,0,0,0,0,0,0,13.41815855,0,0,18.19910121,47.78983169,0,3.21875,10.05875,0,0,0,0,5.9725,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.9741,49.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,1,TIB,PM6:L8-BO,1,卤代挥发性固体添加剂,ITO/ PEDOT:PSS/PM6:L8-BO/PDIN/Ag,IC1=CC(I)=CC(I)=C1,0.836,26.5,77.6,17.2,1.14286446,2.321466667,2.321466667,1.309166667,1.309166667,0.525405495,9.666666667,455.802,452.778,455.7368941,48,0,0.015085684,-0.044237567,0.044237567,0.015085684,126.9147405,10.37471904,1.908906556,-1.92492926,2.146988702,-1.763104251,14.11538309,1.54687223,1.588091448,3.16567031,169.0651777,6.853371151,4.365944227,10.8384391,4.18154055,2.298997517,5.535244954,1.587666373,5.32456303,0.827326835,2.695775164,0.520178761,4.320722033,1.41,85.75693819,8.506061479,3.70104239,2.873217373,95.21691748,0,0,0,0,0,0,0,0,0,0,0,85.97171309,10.71054681,0,0,67.77261188,0,0,0,0,0,28.90964802,0,0,0,0,0,67.77261188,0,0,10.71054681,0,18.19910121,0,0,0,0,0,0,0,0,0,0,10.71054681,0,0,85.97171309,0,3.9275,6.9644,0,0,0,0,6.4681,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,3.5004,64.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.888888889,1.111111111,0,0
A,2,ODBB,PM6:L8-BO,1,溶液添加剂,ITO/PEDOT:PSS/PM6:L8-BO/PDINN/Ag,BrC1=C(Br)C=CC=C1,0.88,25.57,79.2,17.82,1.27799364,3.348287037,3.348287037,1.097222222,1.097222222,0.648140806,9.25,235.906,231.874,233.8679743,42,0,0.031694731,-0.061066711,0.061066711,0.031694731,79.91993767,10.37417526,1.876573109,-1.889248657,2.202972399,-1.627585713,9.128018225,1.593179307,1.768177215,3.134861511,162.6383389,5.983127663,4.065330023,7.237323101,3.804530453,2.205314742,3.791311281,1.414108774,3.122782572,0.824372589,2.739447295,0.439294576,1.008852509,0.18,72.49526583,6.302249389,2.646097475,1.326674518,65.16649833,0,0,0,0,0,0,0,0,0,0,12.13273414,43.99262193,8.945439032,0,0,31.8598878,0,0,0,0,0,33.21090731,0,0,0,0,0,31.8598878,0,0,0,0,33.21090731,0,0,0,0,0,0,0,0,0,8.945439032,0,0,24.26546827,31.8598878,0,2.194444444,6.696574074,0,0,0,0,7.942314815,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3.2116,41.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,1.25,1.5,0,0
